Year,Title,Experience,Employment Status,Salary (USD),Employee Residence,Remote Ratio,Company Location,Company Size
2024,Lead Engineer,Senior-level / Expert,Full-time,194000,United States,0,United States,Medium (50-250)
2024,Business Intelligence Engineer,Senior-level / Expert,Full-time,116800,United States,0,United States,Medium (50-250)
2024,Data Specialist,Senior-level / Expert,Full-time,56250,Great Britain,0,Great Britain,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,314000,United States,0,United States,Medium (50-250)
2024,Business Intelligence Engineer,Senior-level / Expert,Full-time,86500,United States,0,United States,Medium (50-250)
2024,Research Engineer,Entry-level / Junior,Full-time,176239,United States,0,United States,Medium (50-250)
2024,Lead Engineer,Senior-level / Expert,Full-time,355000,United States,0,United States,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,137600,United States,0,United States,Medium (50-250)
2024,Data Scientist,Mid-level / Intermediate,Full-time,143100,United States,0,United States,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,250200,United States,0,United States,Medium (50-250)
2024,Data Specialist,Senior-level / Expert,Full-time,45000,Great Britain,0,Great Britain,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,117200,United States,0,United States,Medium (50-250)
2024,Data Analyst,Entry-level / Junior,Full-time,46000,United States,0,United States,Medium (50-250)
2024,Data Analyst,Entry-level / Junior,Full-time,46000,United States,0,United States,Medium (50-250)
2024,Data Analyst,Entry-level / Junior,Full-time,90000,United States,0,United States,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,253000,United States,0,United States,Medium (50-250)
2024,Data Scientist,Mid-level / Intermediate,Full-time,187675,United States,0,United States,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,147430,United States,0,United States,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,104000,United States,0,United States,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,88275,United States,0,United States,Medium (50-250)
2024,Data Analyst,Entry-level / Junior,Full-time,77000,United States,0,United States,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,294000,United States,0,United States,Medium (50-250)
2024,Data Scientist,Mid-level / Intermediate,Full-time,170450,United States,0,United States,Medium (50-250)
2024,Data Scientist,Mid-level / Intermediate,Full-time,81900,United States,0,United States,Medium (50-250)
2024,Research Engineer,Entry-level / Junior,Full-time,120016,United States,0,United States,Medium (50-250)
2024,Data Scientist,Mid-level / Intermediate,Full-time,99100,United States,0,United States,Medium (50-250)
2024,Data Analyst,Senior-level / Expert,Full-time,232000,United States,0,United States,Medium (50-250)
2024,Data Scientist,Mid-level / Intermediate,Full-time,264200,United States,0,United States,Medium (50-250)
2024,Data Analyst,Entry-level / Junior,Full-time,96000,United States,0,United States,Medium (50-250)
2024,Data Analyst,Senior-level / Expert,Full-time,150250,United States,0,United States,Medium (50-250)
2024,Data Analyst,Senior-level / Expert,Full-time,113734,United States,0,United States,Medium (50-250)
2024,Data Analyst,Senior-level / Expert,Full-time,136000,United States,0,United States,Medium (50-250)
2024,Software Engineer,Mid-level / Intermediate,Full-time,234062,United States,0,United States,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,166000,United States,0,United States,Medium (50-250)
